step,accumulated_step,loss,perplexity,ttt_step_time,score_seq_time,eval_step_time,lr,plddt,tm_score,lddt
0,0,,,7.152557373046875e-07,0.0,8.02444863319397,0.002,72.30360412597656,,
1,4,2.595703125,,0.9452791213989258,0.0,6.438154935836792,0.002,74.01615142822266,,
2,8,2.5546875,,0.8825793266296387,0.0,6.43369722366333,0.002,73.4150161743164,,
3,12,2.63671875,,0.881422758102417,0.0,6.434266567230225,0.002,71.96168518066406,,
4,16,2.517578125,,0.8820114135742188,0.0,6.434039115905762,0.002,72.35004425048828,,
5,20,2.5078125,,0.8816714286804199,0.0,6.434420108795166,0.002,71.68156433105469,,
6,24,2.52734375,,0.8814482688903809,0.0,6.434823036193848,0.002,71.78316497802734,,
7,28,2.44140625,,0.8821325302124023,0.0,6.43403959274292,0.002,71.88814544677734,,
8,32,2.44921875,,0.8814036846160889,0.0,6.434805870056152,0.002,71.98408508300781,,
9,36,2.421875,,0.8822011947631836,0.0,6.433732271194458,0.002,72.10408020019531,,
10,40,2.345703125,,0.8822731971740723,0.0,6.433131217956543,0.002,72.3307876586914,,
11,44,2.423828125,,0.8821024894714355,0.0,6.434642791748047,0.002,73.84131622314453,,
12,48,2.375,,0.8821494579315186,0.0,6.434803247451782,0.002,73.99362182617188,,
13,52,2.310546875,,0.8829128742218018,0.0,6.433665752410889,0.002,74.10375213623047,,
14,56,2.19140625,,0.880467414855957,0.0,6.432647943496704,0.002,73.80738830566406,,
15,60,2.25,,0.8815920352935791,0.0,6.431344032287598,0.002,73.70652770996094,,
16,64,2.29296875,,0.8812386989593506,0.0,6.432322263717651,0.002,72.3936996459961,,
17,68,2.203125,,0.8807106018066406,0.0,6.431879281997681,0.002,72.652587890625,,
18,72,2.20703125,,0.8803675174713135,0.0,6.431447982788086,0.002,72.69212341308594,,
19,76,2.21875,,0.8803849220275879,0.0,6.431206703186035,0.002,73.21769714355469,,
20,80,2.142578125,,0.8802905082702637,0.0,6.431019067764282,0.002,72.50707244873047,,
21,84,2.076171875,,0.8809249401092529,0.0,6.432113170623779,0.002,71.69572448730469,,
22,88,2.09765625,,0.8806650638580322,0.0,6.432948112487793,0.002,72.6690673828125,,
23,92,2.052734375,,0.881251335144043,0.0,6.431627511978149,0.002,72.46060943603516,,
24,96,2.037109375,,0.8802676200866699,0.0,6.43126106262207,0.002,72.13084411621094,,
25,100,1.904296875,,0.8804686069488525,0.0,6.43156099319458,0.002,70.9352035522461,,
26,104,1.9111328125,,0.8805458545684814,0.0,6.432023763656616,0.002,72.38524627685547,,
27,108,1.9326171875,,0.8805141448974609,0.0,6.4321372509002686,0.002,71.89566802978516,,
28,112,1.888671875,,0.8812685012817383,0.0,6.431823492050171,0.002,73.75524139404297,,
29,116,1.6650390625,,0.8806235790252686,0.0,6.431487798690796,0.002,74.29268646240234,,
30,120,1.8154296875,,0.8806707859039307,0.0,6.43354606628418,0.002,73.76209259033203,,
